Size,Fast_CVaR,Slow_CVaR
5,0.00000019,0.000000341
5,0.00000012,0.000000131
5,0.00000016,0.000000541
5,0.0000002,0.000000141
5,0.00000015,0.000000151
5,0.000000491,0.000000832
5,0.000000541,0.000000551
5,0.000000591,0.000001213
5,0.000000421,0.000000661
5,0.00000016,0.00000018
1000005,0.14622266,1.6615770300000001
1000005,0.05909368,1.825018038
1000005,0.188515855,2.03911529
1000005,0.174015695,1.223850084
1000005,0.051890678,0.5560288
1000005,0.082380192,1.949593842
1000005,0.168696538,0.596356598
1000005,0.208210018,0.649445614
1000005,0.066762947,0.527064187
1000005,0.131314314,0.823606502
2000005,0.152894755,4.116994014
2000005,0.354965387,2.284053925
2000005,0.172462962,1.308443418
2000005,0.095387412,1.04255795
2000005,0.066326168,0.725390354
2000005,0.119976958,1.059005943
2000005,0.079523453,0.609723794
2000005,0.085919261,0.919827958
2000005,0.049532244,0.808064749
2000005,0.057480935,0.6394149
3000005,0.563643283,5.93987897
3000005,0.773692221,5.906156392
3000005,0.723155461,4.416310021
3000005,0.625674454,4.41950282
3000005,0.44114138,2.794924544
3000005,0.374138383,6.072929881
3000005,0.117537371,2.154807399
3000005,0.26515121,2.197486769
3000005,0.115485272,1.341972323
3000005,0.077534754,1.716135873
4000005,1.219096196,4.694843776
4000005,0.251946692,1.847737726
4000005,0.107199299,2.296553873
4000005,0.182199527,1.892437476
4000005,0.177954814,3.327385986
4000005,0.2131906,3.085438573
4000005,0.140461854,2.912013485
4000005,0.183172611,1.756466276
4000005,0.181217925,1.571480883
4000005,0.133169033,2.351086447
5000005,0.212890246,3.151992917
5000005,0.229892792,2.648915776
5000005,0.188093152,3.385563428
5000005,0.18990444,2.769088981
5000005,0.133465609,3.038178279
5000005,0.144439154,2.425774509
5000005,0.197039433,2.43185168
5000005,0.164952224,3.640739246
5000005,0.223632828,4.05608084
5000005,0.082501629,3.507431342
6000005,1.565195592,5.526714601
6000005,0.36724428,3.780915614
6000005,2.050261618,6.34752079
6000005,0.257299022,3.336395486
6000005,0.195020698,4.144188175
6000005,1.453371458,8.176227246
6000005,0.403386357,2.74224667
6000005,1.610185837,5.883034889
6000005,0.154689814,5.267994403
6000005,0.228257403,4.013764141
7000005,1.046956,7.639806957
7000005,0.234064186,3.781826012
7000005,0.437034104,4.371317021
7000005,0.335579402,4.023017498
7000005,0.193105845,4.782670925
7000005,0.366221773,4.033717039
7000005,0.187103536,3.653825875
7000005,0.199245694,4.084752492
7000005,0.260372817,7.769881387
7000005,0.328769437,4.461362191
8000005,0.289931023,7.170523939
8000005,0.252519886,6.599942642
8000005,0.358860814,4.796781113
8000005,0.329749957,5.364694747
8000005,0.096754094,5.853065371
8000005,0.288217559,6.673296341
8000005,0.363239107,5.136940177
8000005,0.332894506,5.284608498
8000005,0.36111295,4.659575928
8000005,0.244429068,7.133167855
9000005,2.483731709,8.953875407
9000005,0.257973015,6.260255975
9000005,0.400943514,7.187242712
9000005,0.33945406,5.753869376
9000005,0.301180455,5.874863872
9000005,0.251757346,6.821590807
9000005,0.304586084,5.384484508
9000005,0.099786063,7.166335843
9000005,0.493026987,5.526235611
9000005,0.344153637,6.732977855
