n,cvar,qcvar
5,175.0,91.0
1000005,220.0,30.0
2000005,490.0,56.0
3000005,768.0,87.0
4000005,1075.0,111.0
5000005,1387.0,162.0
6000005,1669.0,180.0
7000005,1999.0,245.0
8000005,2334.0,252.0
9000005,2658.0,272.0
10000005,3054.0,300.0
11000005,3395.0,369.0
12000005,3622.0,418.0
13000005,3972.0,391.0
14000005,4325.0,416.0
15000005,4642.0,430.0
16000005,5007.0,562.0
17000005,5342.0,505.0
18000005,5687.0,576.0
19000005,6077.0,587.0
20000005,6379.0,661.0
21000005,6693.0,697.0
22000005,7062.0,634.0
23000005,7398.0,678.0
24000005,7871.0,750.0
25000005,8176.0,900.0
26000005,8552.0,738.0
27000005,8732.0,888.0
28000005,9417.0,902.0
29000005,9614.0,979.0
30000005,9942.0,1004.0
31000005,10356.0,995.0
32000005,10639.0,954.0
33000005,11041.0,1097.0
34000005,11359.0,1134.0
35000005,11778.0,1140.0
36000005,12226.0,1215.0
37000005,12535.0,1382.0
38000005,12859.0,1239.0
39000005,13318.0,1280.0
40000005,13686.0,1217.0
41000005,13896.0,1472.0
42000005,14462.0,1378.0
43000005,14579.0,1325.0
44000005,15164.0,1283.0
45000005,15541.0,1359.0
46000005,15851.0,1552.0
47000005,16243.0,1451.0
48000005,17094.0,1456.0
49000005,17031.0,1745.0
50000005,17414.0,1641.0
51000005,18003.0,1671.0
52000005,18881.0,1570.0
53000005,19024.0,1656.0
54000005,18769.0,1680.0
55000005,20286.0,2042.0
56000005,19796.0,1749.0
57000005,20062.0,2098.0
58000005,20667.0,1821.0
59000005,20780.0,1871.0
60000005,21186.0,2046.0
61000005,21796.0,2111.0
62000005,21980.0,1903.0
63000005,22599.0,2189.0
64000005,22873.0,2123.0
65000005,23850.0,2302.0
66000005,23607.0,2260.0
67000005,24178.0,2290.0
68000005,24519.0,2249.0
69000005,24713.0,2284.0
70000005,25019.0,2285.0
71000005,25589.0,2400.0
72000005,25758.0,2655.0
73000005,26274.0,2379.0
74000005,26673.0,2234.0
75000005,27154.0,2207.0
76000005,27742.0,2548.0
77000005,28133.0,2272.0
78000005,27944.0,2273.0
79000005,28723.0,2566.0
80000005,28741.0,2591.0
81000005,29522.0,2473.0
82000005,29818.0,2564.0
83000005,30778.0,2748.0
84000005,30524.0,2489.0
85000005,31157.0,2785.0
86000005,31285.0,2885.0
87000005,31791.0,2456.0
88000005,32139.0,3097.0
89000005,32861.0,3391.0
90000005,33100.0,2842.0
91000005,33120.0,3312.0
92000005,33945.0,2725.0
93000005,34405.0,3246.0
94000005,34772.0,3162.0
95000005,35042.0,3466.0
96000005,36132.0,3432.0
97000005,35243.0,3022.0
98000005,36295.0,2971.0
99000005,36859.0,3304.0
