n,cvar,qcvar,var,qvar,tvar,qtvar
12,58001.0,2094.0,49275.0,1072.0,2215.0,2996.0
12,58673.0,2815.0,49194.0,1593.0,4909.0,3286.0
12,50357.0,1813.0,48463.0,1062.0,1743.0,2465.0
12,49004.0,1683.0,49074.0,1052.0,1753.0,2514.0
12,49355.0,1893.0,48574.0,1042.0,1894.0,2695.0
12,50487.0,1933.0,48594.0,1022.0,2214.0,2966.0
12,49746.0,3096.0,49435.0,1012.0,2104.0,2805.0
12,67230.0,1914.0,48714.0,1032.0,2264.0,2345.0
12,49586.0,1994.0,48343.0,1012.0,2104.0,2565.0
12,49225.0,1934.0,48924.0,1012.0,1903.0,2816.0
13,62180.0,2304.0,61919.0,1242.0,2374.0,3517.0
13,62390.0,2334.0,61829.0,1233.0,3146.0,3406.0
13,62280.0,2505.0,61568.0,1232.0,2685.0,3446.0
13,80104.0,2455.0,61549.0,1232.0,2394.0,4568.0
13,62379.0,2355.0,61498.0,1242.0,2485.0,3257.0
13,62921.0,2334.0,66828.0,1253.0,3166.0,3938.0
13,62901.0,2254.0,61698.0,1222.0,2574.0,3196.0
13,62410.0,2375.0,62570.0,1222.0,2545.0,3547.0
13,62760.0,2294.0,62210.0,1233.0,2535.0,3156.0
13,62641.0,2384.0,61989.0,1233.0,2625.0,3557.0
14,60216.0,2225.0,59534.0,1212.0,2295.0,3086.0
14,60817.0,2756.0,60757.0,1192.0,2505.0,3066.0
14,60707.0,2205.0,59194.0,1192.0,2404.0,3647.0
14,60275.0,2535.0,59204.0,1182.0,2836.0,3456.0
14,60095.0,2354.0,59364.0,1192.0,2355.0,3126.0
14,59885.0,2145.0,76858.0,1212.0,2605.0,3076.0
14,59906.0,2254.0,59504.0,1182.0,2525.0,3126.0
14,59755.0,2244.0,59173.0,1193.0,2505.0,3326.0
14,60687.0,2575.0,67159.0,1203.0,2395.0,3367.0
14,61649.0,2294.0,59915.0,1192.0,2384.0,3246.0
15,59986.0,2214.0,59495.0,1192.0,2405.0,3287.0
15,59765.0,2114.0,76708.0,1173.0,2415.0,3417.0
15,60155.0,2244.0,59555.0,1182.0,2375.0,3316.0
15,60316.0,2094.0,59495.0,1182.0,2475.0,3287.0
15,60797.0,2174.0,59364.0,1192.0,2535.0,3186.0
15,60546.0,2205.0,59204.0,1203.0,2615.0,3316.0
15,60085.0,2204.0,59665.0,1192.0,2304.0,3296.0
15,60035.0,2204.0,59484.0,1172.0,2565.0,3426.0
15,60185.0,2104.0,77228.0,1172.0,2394.0,3266.0
15,59915.0,2195.0,59244.0,1172.0,2776.0,3196.0
16,59955.0,2465.0,60115.0,1172.0,2505.0,3266.0
16,59103.0,2164.0,57370.0,1172.0,2384.0,3086.0
16,58052.0,2335.0,57550.0,1173.0,2535.0,3166.0
16,57872.0,2335.0,57421.0,1152.0,2354.0,3426.0
16,58021.0,2184.0,57240.0,18386.0,2425.0,3146.0
16,58363.0,2234.0,57170.0,1142.0,2235.0,3326.0
16,58272.0,2415.0,57320.0,1172.0,2324.0,3277.0
16,58382.0,2205.0,62971.0,1193.0,2855.0,4178.0
16,59044.0,2154.0,57961.0,1163.0,2705.0,3106.0
16,58863.0,2375.0,58282.0,1152.0,2414.0,3116.0
17,69593.0,4158.0,86397.0,2846.0,2846.0,5240.0
17,70005.0,4258.0,66608.0,2846.0,2855.0,5290.0
17,69795.0,4007.0,68893.0,2856.0,2956.0,5271.0
17,69574.0,4349.0,68923.0,2836.0,2835.0,5140.0
17,69764.0,4037.0,69042.0,2855.0,3026.0,5271.0
17,69583.0,4409.0,69293.0,2856.0,3016.0,5220.0
17,69824.0,4238.0,85725.0,2845.0,3096.0,5270.0
17,69614.0,4288.0,68581.0,2836.0,2796.0,5340.0
17,69734.0,2415.0,68592.0,1343.0,2886.0,4990.0
17,70225.0,4208.0,71217.0,2826.0,2876.0,5520.0
18,78330.0,3056.0,77859.0,1533.0,2915.0,4128.0
18,95453.0,3005.0,77859.0,1513.0,2946.0,4178.0
18,78731.0,2896.0,78210.0,1513.0,2875.0,4429.0
18,79012.0,3507.0,77419.0,1503.0,2866.0,4138.0
18,79433.0,2916.0,77459.0,1493.0,3116.0,4378.0
18,79563.0,2855.0,77710.0,1513.0,2655.0,3807.0
18,79262.0,2775.0,95373.0,1513.0,2976.0,3827.0
18,79372.0,2896.0,78050.0,1492.0,3376.0,4008.0
18,78651.0,2705.0,80325.0,1493.0,3146.0,4068.0
18,81296.0,2966.0,80495.0,1503.0,3156.0,3908.0
19,79253.0,2726.0,79022.0,1503.0,2635.0,3927.0
19,95404.0,2946.0,78331.0,1523.0,3596.0,4198.0
19,82779.0,3637.0,81496.0,1532.0,2816.0,4178.0
19,82789.0,2716.0,77699.0,1522.0,2985.0,3687.0
19,79372.0,2896.0,78371.0,1513.0,2885.0,3998.0
19,79082.0,2625.0,78020.0,1503.0,2676.0,4299.0
19,79252.0,2766.0,96545.0,1503.0,3146.0,4118.0
19,79062.0,2926.0,78431.0,1513.0,3357.0,4058.0
19,80114.0,2736.0,85324.0,1904.0,3226.0,4719.0
19,79884.0,4509.0,78601.0,3256.0,2936.0,3737.0
20,85745.0,3056.0,103429.0,1613.0,3938.0,4138.0
20,85324.0,3207.0,84844.0,1623.0,3287.0,4398.0
20,85294.0,2885.0,84412.0,1604.0,2846.0,4488.0
20,87678.0,2885.0,84082.0,1633.0,3196.0,4358.0
20,86496.0,2995.0,85424.0,1624.0,2936.0,4228.0
20,85294.0,3126.0,118809.0,1623.0,3045.0,4379.0
20,82999.0,2946.0,84532.0,1623.0,3547.0,4118.0
20,85895.0,3116.0,84623.0,1593.0,3637.0,4128.0
20,85644.0,2965.0,84021.0,1603.0,2805.0,4168.0
20,85544.0,3156.0,84973.0,1583.0,3156.0,4228.0
21,88390.0,3006.0,86285.0,1653.0,3106.0,4208.0
21,87188.0,3497.0,86747.0,1673.0,3106.0,4328.0
21,86968.0,3026.0,86135.0,1663.0,3055.0,4469.0
21,87037.0,3086.0,85995.0,1653.0,3136.0,4328.0
21,87038.0,3566.0,106535.0,1663.0,3186.0,4419.0
21,89703.0,2976.0,86025.0,1664.0,3226.0,4278.0
21,87047.0,2975.0,85835.0,1643.0,2956.0,4199.0
21,86496.0,2996.0,85976.0,1634.0,3237.0,4609.0
21,87127.0,3056.0,86125.0,1663.0,3086.0,4950.0
21,87518.0,2995.0,104891.0,1664.0,3207.0,4398.0
22,87748.0,3157.0,89342.0,1714.0,3637.0,4990.0
22,86667.0,3045.0,86616.0,1653.0,2955.0,4048.0
22,88089.0,2986.0,86286.0,1653.0,3036.0,4178.0
22,103920.0,2965.0,86096.0,1653.0,2885.0,4097.0
22,87018.0,2975.0,86526.0,1644.0,2915.0,4108.0
22,86697.0,3196.0,86667.0,1663.0,2865.0,4078.0
22,87108.0,3106.0,85895.0,1653.0,3086.0,4088.0
22,87188.0,2966.0,86115.0,1663.0,2906.0,4188.0
22,87147.0,3036.0,86286.0,1664.0,2805.0,4468.0
22,84021.0,3026.0,86767.0,1673.0,3016.0,4258.0
23,83230.0,2986.0,81797.0,1583.0,3166.0,4780.0
23,83721.0,3005.0,81928.0,1573.0,3126.0,4068.0
23,83230.0,3086.0,100894.0,1573.0,2986.0,3958.0
23,83320.0,2875.0,82077.0,1563.0,3076.0,3997.0
23,82679.0,2946.0,81947.0,1563.0,3096.0,4279.0
23,83992.0,3206.0,82329.0,1563.0,2986.0,3767.0
23,83581.0,3016.0,81878.0,1573.0,2765.0,3967.0
23,83300.0,3106.0,100283.0,1573.0,2776.0,3897.0
23,84643.0,3357.0,82328.0,1563.0,2886.0,4028.0
23,82899.0,3156.0,82379.0,1553.0,2946.0,4088.0
24,82518.0,3066.0,78571.0,1553.0,2736.0,3777.0
24,80354.0,3246.0,78431.0,1533.0,19227.0,3827.0
24,79873.0,3016.0,78571.0,1513.0,2545.0,3858.0
24,79733.0,3126.0,79012.0,1523.0,2494.0,4008.0
24,79523.0,3056.0,79062.0,1523.0,2805.0,4138.0
24,79453.0,2685.0,78832.0,1502.0,2796.0,4007.0
24,79723.0,2896.0,78671.0,1513.0,3486.0,4249.0
24,97277.0,3106.0,78391.0,1503.0,2896.0,4459.0
24,80715.0,3036.0,78540.0,1523.0,2695.0,3858.0
24,82489.0,2886.0,78541.0,1894.0,3947.0,3777.0
25,82208.0,2846.0,81827.0,1563.0,3236.0,3978.0
25,82118.0,3056.0,101084.0,1543.0,2675.0,4198.0
25,82028.0,2805.0,81527.0,1543.0,3176.0,4028.0
25,83020.0,2915.0,81016.0,1533.0,3286.0,3958.0
25,82398.0,3496.0,81306.0,1553.0,2825.0,4488.0
25,82478.0,2946.0,81637.0,1543.0,2665.0,4048.0
25,82499.0,2786.0,102166.0,1543.0,3116.0,3888.0
25,82067.0,3166.0,81587.0,1543.0,2756.0,4188.0
25,82509.0,2845.0,81085.0,1543.0,2715.0,4299.0
25,83480.0,2825.0,81136.0,1543.0,3146.0,4088.0
26,98128.0,3397.0,114670.0,2224.0,3377.0,4809.0
26,98530.0,3437.0,96786.0,1833.0,3657.0,5220.0
26,98489.0,3367.0,97177.0,1844.0,3537.0,5380.0
26,103809.0,3347.0,96756.0,1844.0,3797.0,4549.0
26,98089.0,3637.0,97187.0,1844.0,3617.0,4729.0
26,115252.0,3426.0,96997.0,1844.0,3527.0,5050.0
26,98950.0,3337.0,96816.0,1834.0,3677.0,4479.0
26,98690.0,3757.0,97187.0,1843.0,3426.0,4709.0
26,98489.0,3407.0,96777.0,1833.0,3457.0,4548.0
26,99231.0,3757.0,116574.0,2144.0,4589.0,5530.0
27,86948.0,3036.0,85665.0,1673.0,3106.0,4349.0
27,87298.0,3156.0,91946.0,1673.0,2855.0,4479.0
27,88120.0,3257.0,86066.0,1714.0,3417.0,4168.0
27,104271.0,3076.0,85815.0,1673.0,3016.0,4709.0
27,87548.0,3015.0,87117.0,1673.0,3367.0,5531.0
27,87057.0,3316.0,88691.0,1933.0,3547.0,4769.0
27,90274.0,2966.0,86567.0,1693.0,3266.0,4038.0
27,87227.0,3056.0,86306.0,1683.0,2945.0,4278.0
27,104561.0,3025.0,86817.0,1693.0,3086.0,4498.0
27,87518.0,3136.0,86165.0,1753.0,2925.0,4228.0
28,80244.0,2786.0,77319.0,1503.0,2646.0,3617.0
28,77419.0,2786.0,77008.0,1493.0,2775.0,3848.0
